,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,TOTAL_POINTS,RIM_FGM,RIM_FGA,RIM_FG_PCT,SM_FGM,SM_FGA,SM_FG_PCT,LM_FGM,LM_FGA,LM_FG_PCT,C3_FGM,C3_FGA,C3_FG_PCT,ATB_FGM,ATB_FGA,ATB_FG_PCT,RIM_FREQ,SM_FREQ,LM_FREQ,C3_FREQ,ATB_FREQ
New York Knicks,1075.0,2325.0,346.0,911.0,480.0,636.0,340.0,2976.0,403.0,644.0,0.626,214.0,489.0,0.438,112.0,281.0,0.399,103.0,259.0,0.398,243.0,652.0,0.373,0.27698924731182795,0.2103225806451613,0.12086021505376345,0.1113978494623656,0.28043010752688174
Oklahoma City Thunder,1091.0,2235.0,312.0,816.0,511.0,597.0,323.0,3005.0,447.0,683.0,0.654,218.0,481.0,0.453,114.0,255.0,0.447,99.0,217.0,0.456,213.0,597.0,0.357,0.305592841163311,0.2152125279642058,0.11409395973154363,0.0970917225950783,0.26711409395973157
Orlando Magic,1027.0,2164.0,256.0,745.0,521.0,680.0,379.0,2831.0,532.0,807.0,0.659,162.0,393.0,0.412,77.0,219.0,0.352,64.0,180.0,0.356,192.0,560.0,0.343,0.37292051756007394,0.18160813308687615,0.1012014787430684,0.08317929759704251,0.2587800369685767
Philadelphia 76ers,1121.0,2326.0,320.0,845.0,614.0,720.0,339.0,3176.0,463.0,739.0,0.627,219.0,479.0,0.457,119.0,263.0,0.452,72.0,178.0,0.404,248.0,663.0,0.374,0.3177128116938951,0.205932932072227,0.11306964746345657,0.0765262252794497,0.28503869303525364
Phoenix Suns,1095.0,2319.0,316.0,850.0,595.0,719.0,403.0,3101.0,437.0,662.0,0.66,209.0,454.0,0.46,133.0,353.0,0.377,77.0,203.0,0.379,239.0,646.0,0.37,0.28546787408365676,0.19577404053471323,0.15222078482104356,0.08753773178094006,0.2785683484260457
Portland Trail Blazers,1026.0,2348.0,314.0,904.0,434.0,538.0,401.0,2800.0,395.0,662.0,0.597,186.0,467.0,0.398,131.0,315.0,0.416,85.0,220.0,0.386,229.0,677.0,0.338,0.2819420783645656,0.19889267461669505,0.13415672913117546,0.09369676320272573,0.2883304940374787
Sacramento Kings,1066.0,2263.0,386.0,1045.0,436.0,586.0,342.0,2954.0,373.0,553.0,0.675,232.0,488.0,0.475,75.0,177.0,0.424,95.0,251.0,0.378,291.0,789.0,0.369,0.24436588599204595,0.21564295183384888,0.07821475916924436,0.11091471498011489,0.34865223155103847
San Antonio Spurs,1081.0,2382.0,333.0,970.0,389.0,495.0,412.0,2884.0,450.0,647.0,0.696,177.0,445.0,0.398,122.0,321.0,0.38,66.0,198.0,0.333,266.0,767.0,0.347,0.2716204869857263,0.18681780016792612,0.13476070528967254,0.08312342569269521,0.3219983207388749
Toronto Raptors,1105.0,2343.0,293.0,864.0,423.0,580.0,373.0,2926.0,507.0,748.0,0.678,191.0,475.0,0.402,113.0,255.0,0.443,86.0,241.0,0.357,208.0,621.0,0.335,0.3192488262910798,0.20273154075970978,0.1088348271446863,0.10285958173282117,0.26504481434058896
Utah Jazz,1105.0,2449.0,356.0,1015.0,463.0,571.0,460.0,3029.0,471.0,713.0,0.661,224.0,528.0,0.424,54.0,193.0,0.28,133.0,315.0,0.422,223.0,695.0,0.321,0.2911392405063291,0.21559820334830543,0.07880767660269498,0.12862392813393222,0.2837893017558187
Washington Wizards,1139.0,2353.0,322.0,900.0,441.0,565.0,365.0,3041.0,520.0,727.0,0.715,207.0,488.0,0.424,90.0,238.0,0.378,85.0,194.0,0.438,237.0,700.0,0.339,0.30896727581810457,0.20739481512962177,0.10114747131321716,0.08244793880152997,0.2974925626859328
League Totals,33135.0,70282.0,10016.0,27441.0,14205.0,18036.0,11013.0,90491.0,13688.0,20825.0,0.6572869147659064,6045.0,13767.0,0.43909348441926344,3387.0,8252.0,0.4104459524963645,2677.0,6825.0,0.3922344322344322,7336.0,20464.0,0.3584831899921814,0.29630630886998094,0.19588230272331464,0.11741270880168464,0.09710879030192653,0.2911698585697618
